Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,Meth_Methanogenium,0,0,0,0,1,0,0,0,0,0,2,2,3,6,2,1,5,20,14,6,0,0,0,0,0,0,0,8,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,1,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,Meth_Methanoplanus,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,1,10,4,3,0,0,0,0,0,0,0,4,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea,Meth_Methanolinea,0,1,0,2,1,0,0,0,1,0,60,48,61,36,55,83,72,59,48,55,1,0,0,3,1,2,1,347,338,470,440,0,0,0,0,0,0,0,0,14,11,1,0,0,0,2,0,0,0,20,18,0,0,0,0,0,0,0,0,0,91,58,0,0,1,2,13,15,7,9
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Meth_Methanospirillum,7,1,11,10,4,8,3,5,1,6,130,147,132,94,121,78,96,95,79,70,2,0,0,1,0,2,1,113,118,148,150,0,0,0,0,2,2,1,6,3,5,0,3,3,5,4,5,2,4,9,4,0,0,0,0,0,11,1,1,9,90,56,0,2,9,6,8,10,3,8
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,Meth_Methanosaeta,9,15,6,17,10,13,9,4,2,2,841,956,704,484,898,286,370,129,97,120,7,1,0,8,1,4,5,803,953,1198,1106,2,1,1,4,5,8,22,12,6,5,0,5,6,0,14,8,6,21,0,4,0,0,2,5,8,3,1,10,17,354,79,12,13,13,6,11,10,11,9
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Meth_Methanococcoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Meth_Methanomethylovorans,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Meth_Methanosalsum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Meth_Methanosarcina,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,5,1,1,0,0,1,0,0,0,0,0,0
Archaea,Archaea,Euryarchaeota,Thermoplasmata,E2,Methanomassiliicoccaceae,Methanomassiliicoccus,Meth_Methanomassiliicoccus,0,0,0,0,0,0,0,0,0,0,10,3,4,4,2,11,4,19,12,7,0,0,0,0,0,0,0,3,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,0,0,0,0,0,0,0
Bacteria,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acid_Acidobacterium,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Edaphobacter,Acid_Edaphobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Acid_Terriglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,Holo_Geothrix,27,8,10,31,41,43,78,64,78,78,1,6,1,1,3,12,11,1,4,3,350,381,370,418,361,799,631,4,6,10,7,0,0,2,1,3,1,2,5,0,1,0,0,0,3,0,0,0,0,0,0,16,15,85,72,7,12,129,141,10,5,2,6,7,9,1135,18,9,7,19
Bacteria,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,Iami_Iamia,1,0,0,2,1,2,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,3,3,4,2,10,4,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,Acti_Actinobaculum,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,1,1,5,12,3,0,4,4,4,7,5,1,1,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,3,2,6
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Acti_Actinomyces,28,43,1,48,24,20,14,9,18,13,7,9,6,6,11,12,11,7,2,11,13,21,21,14,11,12,14,4,2,8,7,65,52,49,18,70,97,34,51,29,38,50,87,39,36,79,26,61,99,40,36,0,0,9,9,0,0,3,8,1,12,4,27,39,56,15,78,31,68,65
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium,Acti_Arcanobacterium,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,7,1,5,1,0,4,14,0,6,2,0,4,1,12,11,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,2,2,0,4
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Bogoriella,Acti_Bogoriella,1,0,0,2,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Acti_Mobiluncus,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,1,2,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,1,1,3,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Acti_Trueperella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Acti_Varibaculum,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinoalloteichus,Acti_Actinoalloteichus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora,Acti_Actinokineospora,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Kibdelosporangium,Acti_Kibdelosporangium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea,Acti_Lentzea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix,Acti_Saccharothrix,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Beutenbergia,Beut_Beutenbergia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Salana,Beut_Salana,4,2,0,4,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,7,10,2,4,2,2,1,7,5,5,4,0,7,0,1,3,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,2,2,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Serinibacter,Beut_Serinibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,Georgenia,Bogo_Georgenia,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,4,3,0,2,2,2,0,2,1,0,0,0,0,3,3,4,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,Brev_Brevibacterium,20,4,6,21,7,15,23,24,20,20,3,5,1,9,8,17,16,2,4,3,20,33,40,20,14,42,32,2,4,6,3,8,7,7,4,14,21,7,7,5,9,9,19,17,10,15,12,10,17,9,21,0,0,9,6,0,0,6,8,2,20,1,2,6,11,36,13,3,14,10
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Actinotalea,Cell_Actinotalea,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,0,0,0,1,0,3,0,4,8,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cell_Cellulomonas,7,10,0,6,5,5,4,2,7,6,5,1,1,0,4,0,1,1,1,2,2,0,8,4,1,2,4,1,1,1,0,3,0,7,5,14,4,7,8,6,3,5,4,15,6,18,6,11,8,3,4,0,0,0,0,0,0,0,2,1,5,2,5,6,6,3,2,4,6,11
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Demequina,Cell_Demequina,1,2,0,4,3,5,3,5,1,3,0,1,0,0,0,8,1,0,1,0,4,8,7,11,4,7,3,1,1,0,1,3,1,3,3,7,12,3,7,5,4,22,2,1,3,0,1,10,0,0,0,0,0,3,3,1,1,7,4,4,7,0,0,2,3,3,3,1,2,8
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Oerskovia,Cell_Oerskovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Cory_Corynebacterium,8,25,3,19,17,19,8,8,12,9,5,7,14,5,11,4,8,3,2,0,14,9,12,5,11,33,14,1,3,9,9,27,76,31,20,46,57,40,45,31,27,32,80,47,30,79,36,79,55,56,10,0,0,6,6,0,0,4,6,8,6,5,28,14,36,20,43,14,32,33
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium,Cryp_Cryptosporangium,0,0,0,1,0,0,3,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Derm_Brachybacterium,5,3,0,1,1,2,2,2,0,1,1,0,0,0,2,2,2,0,1,0,2,3,4,2,3,4,4,0,0,0,0,1,0,2,2,1,4,0,3,2,0,0,2,2,8,5,2,1,7,0,2,0,0,0,2,0,0,2,0,3,2,0,0,2,1,4,3,2,1,5
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Dermabacter,Derm_Dermabacter,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Devriesea,Derm_Devriesea,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus,Derm_Dermacoccus,25,3,0,14,9,11,17,19,24,26,2,7,5,3,5,24,16,1,1,4,15,20,24,19,19,31,22,1,2,3,1,5,5,2,2,2,9,1,0,4,0,10,8,4,2,6,1,5,8,0,0,0,0,7,4,0,0,3,2,3,12,2,2,0,5,20,5,3,5,7
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,Dermatophilus,Derm_Dermatophilus,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,2,3,1,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,1,0,2
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,Kineosphaera,Derm_Kineosphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermatophilaceae,Piscicoccus,Derm_Piscicoccus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,Diet_Dietzia,1,1,0,0,0,1,1,0,0,1,1,0,1,0,4,1,5,0,1,0,2,0,4,0,1,10,7,0,1,1,0,0,3,1,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,2,0,0,1,4,0,1,0,1,1,0,8,1,0,1,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,Fran_Frankia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Kaistibacter,Fran_Kaistibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,Geod_Geodermatophilus,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Modestobacter,Geod_Modestobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces,Glyc_Glycomyces,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Bacteria,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,Gord_Gordonia,18,4,6,18,8,13,25,18,26,30,11,5,12,7,12,21,11,7,0,4,21,26,40,27,21,29,29,5,7,8,14,6,6,4,3,5,6,2,2,0,7,11,7,2,17,13,0,3,2,15,6,0,0,9,8,0,0,4,11,31,13,3,3,2,6,26,3,2,6,8
